reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sourceCountry,requestLang
d4e2103b-25ae-4ef6-9f1e-a2337ab58b82,Masud Rana Molla,https://play-lh.googleusercontent.com/a-/ALV-UjWR_tKsnma92kiz0KAYtozWK_4VYuStW1eCQaK0S22PTZjRSW-O3Q,Good apps,5,0,2.5.5,2021-09-15 01:17:08,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 15:59:59,2.5.5,us,en
c3ce537a-4757-4183-a468-c06dbe285cdb,Moses Gikaria,https://play-lh.googleusercontent.com/a/ACg8ocK_qqgQ2PNBJT4DviJ654hY9KTqTQ-_kwPzh2RobECrVKh6CAJv=mo,Excellent 👍,5,1,2.5.5,2021-09-09 21:19:59,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:00:09,2.5.5,us,en
61f43824-ca41-4929-bf95-0539b27e533d,BALWANT RAJ .S.,https://play-lh.googleusercontent.com/a-/ALV-UjX6TW-ATVm9RQDfmh0noGZ8FCyOOHYyLPibV_JFqGuDiNFbZdNK,Good,5,1,2.5.5,2021-09-05 23:12:36,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:00:11,2.5.5,us,en
e470a5b2-279b-479f-bc05-588f12b2659f,Soyiod saddula,https://play-lh.googleusercontent.com/a/ACg8ocJpQMKcH0PgxA8-GQtpKm8tBMlFB3puUAChRyzrUMCxttrnVg=mo,Nice,3,0,2.5.5,2021-09-02 12:13:40,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:00:19,2.5.5,us,en
108ae1a2-b5b7-44ab-be92-81aeb36635f0,Naa Merley Boye,https://play-lh.googleusercontent.com/a-/ALV-UjWkYKKbVazCp4fFFpL4HRceZxtVFE2oPQ0Q3kHPdxEObtHWwKty,Love it,5,2,2.5.5,2021-09-01 02:19:28,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:00:25,2.5.5,us,en
8457e4b3-4910-4023-9e4f-677630aba624,GB Entertainment,https://play-lh.googleusercontent.com/a/ACg8ocLgvBL_GvWhVwbWDqz6uXHCjxOq2-Cxct6NyStFKYuEMKc4Bts=mo,Outstanding,5,0,2.5.5,2021-08-30 01:21:10,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:00:28,2.5.5,us,en
f3854664-3c26-466b-a376-69cd91920f33,Jimmy John,https://play-lh.googleusercontent.com/a/ACg8ocJzVD86XeCytZj3lqb5j_kxn91I7HChCBubJtILPBQtyeRl3A=mo,It is good app,1,4,,2021-08-28 15:13:50,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:00:32,,us,en
6cc27a80-a37e-4e37-91d3-986ab0586e23,Mohsin Ali Abbasi,https://play-lh.googleusercontent.com/a-/ALV-UjVRCOf5YnEY2rD2hbVITRtidMi8jSSGPOjJOmiOLKRkwBV3FdiB,Amazing game,5,2,2.5.5,2021-08-27 15:35:04,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:00:35,2.5.5,us,en
4c37dff2-8407-454d-a9fa-09469e7086c3,Kosisochukwu Ugwumba,https://play-lh.googleusercontent.com/a-/ALV-UjUVTfZawAK5JIy3vwhUYoE_RWGED3DTS_cU_BAi5YDGLdcVraU,The only game i play suddenly turned it's back on me It stopped opening. Please fix this,1,42,2.5.5,2021-08-21 03:22:40,"Hello,I don't quite understand what you mean.Could you please describe the problem you meet in more detail?We will reply to you as soon as possible.",2022-08-03 16:01:12,2.5.5,us,en
14004675-f83b-42c9-b4d0-28ed5d7f6046,Pawar Aakesh,https://play-lh.googleusercontent.com/a/ACg8ocKAaIJB8sKow4xGzF-8QBVbalJVdFFD4mVyGJR0OUY5txaOCA=mo,Nice game,5,1,,2021-08-18 20:41:42,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:01:19,,us,en
79032889-aa79-42de-a950-d6505af8b7bc,Goga G,https://play-lh.googleusercontent.com/a-/ALV-UjWPSKDYi0mVgPSgwtTs6vWU0TedsTqGWaH4mtYiXiaF2MNZHhs,Nice,5,0,,2021-08-18 14:12:30,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:02:04,,us,en
454ed222-3c3f-4f27-871c-3259f8a447d2,Shahid Khan,https://play-lh.googleusercontent.com/a-/ALV-UjXwBS6O-42zpWHzdB5AvnCYEF3XjsMbYcFr6wZiRg-MaYHo2pUt,Nice game,3,0,2.5.5,2021-08-17 20:35:54,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:02:07,2.5.5,us,en
5a455e67-6449-4a56-8714-120fdbd66d92,Bright Obinna,https://play-lh.googleusercontent.com/a/ACg8ocIC8WFy_DgCrP4gXKIOdgq3fDaaieSnaq3JdasM5rvTxrwjzg=mo,I need it becouse of game,2,11,,2021-08-10 20:59:35,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:02:11,,us,en
35546108-f7d4-4b28-955f-51bdfd49df8e,Celestine Mwombeki,https://play-lh.googleusercontent.com/a-/ALV-UjUkzfPOK2zzubpJL-N8_lIxZ67biORQIw6RtgnEcUZUeyTL5MQl,Very good but you have to increase number 0f bubles,2,23,2.5.5,2021-08-06 20:15:13,"Hello,I don't quite understand what you mean.Could you please describe the problem you meet in more detail?We will reply to you as soon as possible.",2022-08-03 16:15:45,2.5.5,us,en
1b4c0dc0-12ed-4523-b735-24f8f9e283ae,Chris Moon,https://play-lh.googleusercontent.com/a/ACg8ocLMVm0BPvKa9a4dEpR4rNsG8vM4ZtgnUyrLlGFKOKi9U8BlJA=mo,"Game getting stuck on different levels.Even after popping all bubbles in some levels it is impossible to go to the next level,then in order to do so the game has to be re started.From where can I get new levels.Have completed 3430 levels.",3,272,2.5.5,2021-08-06 11:26:49,"Dear player,your suggestion has been received,we will convey it to the staff of the relevant departments,thank you for your support to our game~",2022-08-03 16:21:12,2.5.5,us,en
a108d610-7885-4f9d-85d8-d25057dbe15d,Johar 57,https://play-lh.googleusercontent.com/a/ACg8ocI7NREymAE5x9VF0ANmUMuFXxLRV8TJjUDy2hGu01X6VR3hrArQ=mo,हु,5,0,2.5.5,2021-07-31 11:06:55,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:21:43,2.5.5,us,en
f01e2f55-65e3-4c30-bf70-5db9c8e596c4,Prince Gameli,https://play-lh.googleusercontent.com/a-/ALV-UjW8pO0pm2rjYb90uNdQMuWDPMf3aDyTttrnbqIETN7QpNwY42A,Very very useful,5,14,,2021-07-29 21:07:07,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:21:47,,us,en
5958cea8-3c14-4b2b-9050-603d0f1ffe5d,Mwalla Mwashizo,https://play-lh.googleusercontent.com/a/ACg8ocKEgn8QlKL6Bs6pvnFFRLGkZd_6X1UO5uZUZ7F1uJ_u9IVUVA=mo,Journalism,5,1,,2021-07-28 22:53:33,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:21:53,,us,en
f08e0795-80d1-4405-b0c8-b13142c3b416,Philomina Yawson,https://play-lh.googleusercontent.com/a/ACg8ocKoJ0TCSTF98EC17PqpHcaLR9-NtU83Bz98XYa_hZ3yBnZM9g=mo,Very beautiful,5,3,2.4.9,2021-07-28 01:32:23,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:21:56,2.4.9,us,en
48924c65-5fd5-49ca-8d48-6174976558e4,Ezekiel Okem,https://play-lh.googleusercontent.com/a-/ALV-UjX7GKafQaiBikRGXHDPx_zLHBYeLpMADlR_DXNu7B6srP2JO4rk,"I enjoyed the game the first and second week I downloaded it. But right now the game is no longer opening, please help me fix this error.",1,143,2.5.5,2021-07-26 06:05:42,"Dear player,your suggestion has been received,we will convey it to the staff of the relevant departments,thank you for your support to our game~",2022-08-03 16:25:26,2.5.5,us,en
de09ea82-834d-46ca-b390-c8167ef8e7ad,Golu Yadav,https://play-lh.googleusercontent.com/a/ACg8ocJhvq_JkI26FHcKTe0r2wvM7ySJjNH4BjiQ66RmttoPm2M1Pg=mo,golu yadac,5,0,2.4.7,2021-07-16 21:51:21,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:25:39,2.4.7,us,en
